quote,name,date,quote_id,lower_quote,lower_tokenized_quote,year,quote_length,tool_frequency,scaled_tool_frequency
The place where technology meets traditional study.,Sharon Taylor,2012-01-01,38,the place where technology meets traditional study.,"['the', 'place', 'where', 'technology', 'meets', 'traditional', 'study', '.']",2012,8,0,0.0
"In DH, scholars either try to solve to old problems with new means, in an verifiable way by applying algorithms to given data, or they try to find new questions that couldn't have been asked before with traditional means, e.g. checking a theory against huge amounts of data. DH also implies new presentation of data, methods, and results.",Torsten Schaßan,2012-01-01,39,"in dh, scholars either try to solve to old problems with new means, in an verifiable way by applying algorithms to given data, or they try to find new questions that couldn't have been asked before with traditional means, e.g. checking a theory against huge amounts of data. dh also implies new presentation of data, methods, and results.","['in', 'dh', ',', 'scholars', 'either', 'try', 'to', 'solve', 'to', 'old', 'problems', 'with', 'new', 'means', ',', 'in', 'an', 'verifiable', 'way', 'by', 'applying', 'algorithms', 'to', 'given', 'data', ',', 'or', 'they', 'try', 'to', 'find', 'new', 'questions', 'that', 'could', ""n't"", 'have', 'been', 'asked', 'before', 'with', 'traditional', 'means', ',', 'e.g', '.', 'checking', 'a', 'theory', 'against', 'huge', 'amounts', 'of', 'data', '.', 'dh', 'also', 'implies', 'new', 'presentation', 'of', 'data', ',', 'methods', ',', 'and', 'results', '.']",2012,68,0,0.0
"Digital Humanities captures the passion for the traditional craft and emboldens it to ask new questions of old data in exciting, compelling and innovative ways.",Shawn Day,2012-01-01,40,"digital humanities captures the passion for the traditional craft and emboldens it to ask new questions of old data in exciting, compelling and innovative ways.","['digital', 'humanities', 'captures', 'the', 'passion', 'for', 'the', 'traditional', 'craft', 'and', 'emboldens', 'it', 'to', 'ask', 'new', 'questions', 'of', 'old', 'data', 'in', 'exciting', ',', 'compelling', 'and', 'innovative', 'ways', '.']",2012,27,0,0.0
"Researching the Humanities through digital perspectives, researching digital technologies from the perspective of the Humanities",Francesca Benatti,2012-01-01,41,"researching the humanities through digital perspectives, researching digital technologies from the perspective of the humanities","['researching', 'the', 'humanities', 'through', 'digital', 'perspectives', ',', 'researching', 'digital', 'technologies', 'from', 'the', 'perspective', 'of', 'the', 'humanities']",2012,16,0,0.0
"Digital Humanities is to me the use and abuse of technology to potential improve research within the field of humanities. It stretches from a simple blog, to complex corpus tools, to whatever the next person can think of.",Chris Martin,2012-01-01,42,"digital humanities is to me the use and abuse of technology to potential improve research within the field of humanities. it stretches from a simple blog, to complex corpus tools, to whatever the next person can think of.","['digital', 'humanities', 'is', 'to', 'me', 'the', 'use', 'and', 'abuse', 'of', 'technology', 'to', 'potential', 'improve', 'research', 'within', 'the', 'field', 'of', 'humanities', '.', 'it', 'stretches', 'from', 'a', 'simple', 'blog', ',', 'to', 'complex', 'corpus', 'tools', ',', 'to', 'whatever', 'the', 'next', 'person', 'can', 'think', 'of', '.']",2012,42,1,0.023809523809523808
"Digital Humanities is a young field within the Humanities and Technologies, yet not clearly defined. The Digital Humanities take advantage of applying mathematical methods for the analysis of cultural phenomena.",Markus Schnoepf,2012-01-01,43,"digital humanities is a young field within the humanities and technologies, yet not clearly defined. the digital humanities take advantage of applying mathematical methods for the analysis of cultural phenomena.","['digital', 'humanities', 'is', 'a', 'young', 'field', 'within', 'the', 'humanities', 'and', 'technologies', ',', 'yet', 'not', 'clearly', 'defined', '.', 'the', 'digital', 'humanities', 'take', 'advantage', 'of', 'applying', 'mathematical', 'methods', 'for', 'the', 'analysis', 'of', 'cultural', 'phenomena', '.']",2012,33,0,0.0
"For me, digital humanities is thinking through making, as well as writing. More specifically, it’s currently about thinking critically about the impact of digitality on scholarly practice in addition to applying digital techniques to the concerns of the humanities.",Mia,2012-01-01,44,"for me, digital humanities is thinking through making, as well as writing. more specifically, it’s currently about thinking critically about the impact of digitality on scholarly practice in addition to applying digital techniques to the concerns of the humanities.","['for', 'me', ',', 'digital', 'humanities', 'is', 'thinking', 'through', 'making', ',', 'as', 'well', 'as', 'writing', '.', 'more', 'specifically', ',', 'it', '’', 's', 'currently', 'about', 'thinking', 'critically', 'about', 'the', 'impact', 'of', 'digitality', 'on', 'scholarly', 'practice', 'in', 'addition', 'to', 'applying', 'digital', 'techniques', 'to', 'the', 'concerns', 'of', 'the', 'humanities', '.']",2012,46,0,0.0
"Humanities or liberal arts which cannot be formed without computers. I use 'Jimbun Jouhougaku 人文情報学' in Japanese (literal translation: Humanities Informatics) as a Humanities-like discipline based on the methodology of Informatics, which can be formed without computers.",Shigeki Moro,2012-01-01,45,"humanities or liberal arts which cannot be formed without computers. i use 'jimbun jouhougaku 人文情報学' in japanese (literal translation: humanities informatics) as a humanities-like discipline based on the methodology of informatics, which can be formed without computers.","['humanities', 'or', 'liberal', 'arts', 'which', 'can', 'not', 'be', 'formed', 'without', 'computers', '.', 'i', 'use', ""'jimbun"", 'jouhougaku', '人文情報学', ""'"", 'in', 'japanese', '(', 'literal', 'translation', ':', 'humanities', 'informatics', ')', 'as', 'a', 'humanities-like', 'discipline', 'based', 'on', 'the', 'methodology', 'of', 'informatics', ',', 'which', 'can', 'be', 'formed', 'without', 'computers', '.']",2012,45,0,0.0
"It is simple. Human use digital signal, namely syllables, more precisely logical syllables for communication. This is the only difference between human and non-human animals, who communicate by exchanging analog or physical signals modulated by their emotion.",Kumon Kimiaki TOKUMARU,2012-01-01,46,"it is simple. human use digital signal, namely syllables, more precisely logical syllables for communication. this is the only difference between human and non-human animals, who communicate by exchanging analog or physical signals modulated by their emotion.","['it', 'is', 'simple', '.', 'human', 'use', 'digital', 'signal', ',', 'namely', 'syllables', ',', 'more', 'precisely', 'logical', 'syllables', 'for', 'communication', '.', 'this', 'is', 'the', 'only', 'difference', 'between', 'human', 'and', 'non-human', 'animals', ',', 'who', 'communicate', 'by', 'exchanging', 'analog', 'or', 'physical', 'signals', 'modulated', 'by', 'their', 'emotion', '.']",2012,43,0,0.0
"A community of practice involving anyone who engages with humanities subject areas through critical, reflexive and collaborative development and use of digital technologies.",Kathryn E. Piquette,2012-01-01,47,"a community of practice involving anyone who engages with humanities subject areas through critical, reflexive and collaborative development and use of digital technologies.","['a', 'community', 'of', 'practice', 'involving', 'anyone', 'who', 'engages', 'with', 'humanities', 'subject', 'areas', 'through', 'critical', ',', 'reflexive', 'and', 'collaborative', 'development', 'and', 'use', 'of', 'digital', 'technologies', '.']",2012,25,0,0.0
As a social construct.,louburnard,2012-01-01,48,as a social construct.,"['as', 'a', 'social', 'construct', '.']",2012,5,0,0.0
Digital Humanities is more than a methodology.,James O'Sullivan,2012-01-01,49,digital humanities is more than a methodology.,"['digital', 'humanities', 'is', 'more', 'than', 'a', 'methodology', '.']",2012,8,0,0.0
"The use of digital methods, tools, resources,and/or models to research, study, and/or mediate what it means to be human. If it must be measured, I prefer to do so by degrees rather than by delineations.",Lisa Rhody,2012-01-01,50,"the use of digital methods, tools, resources,and/or models to research, study, and/or mediate what it means to be human. if it must be measured, i prefer to do so by degrees rather than by delineations.","['the', 'use', 'of', 'digital', 'methods', ',', 'tools', ',', 'resources', ',', 'and/or', 'models', 'to', 'research', ',', 'study', ',', 'and/or', 'mediate', 'what', 'it', 'means', 'to', 'be', 'human', '.', 'if', 'it', 'must', 'be', 'measured', ',', 'i', 'prefer', 'to', 'do', 'so', 'by', 'degrees', 'rather', 'than', 'by', 'delineations', '.']",2012,44,1,0.022727272727272728
Digital Humanities is a field overseeing the work that needs to be done using digital media in order to preserve and interpret the human record.,Laura Mandell,2012-01-01,51,digital humanities is a field overseeing the work that needs to be done using digital media in order to preserve and interpret the human record.,"['digital', 'humanities', 'is', 'a', 'field', 'overseeing', 'the', 'work', 'that', 'needs', 'to', 'be', 'done', 'using', 'digital', 'media', 'in', 'order', 'to', 'preserve', 'and', 'interpret', 'the', 'human', 'record', '.']",2012,26,0,0.0
